periodo_id,label,start_year,end_year,abr_code,abr_code_legacy,abr_code_legacy_additional,additional_label1,additional_label2,additional_label3,additional_label4,additional_label5,additional_label6,additional_label7,additional_label8,english_label1,english_label2
,Touwbekercultuur,-2900,-2450,,,,Enkelgrafcultuur,strijdbijlcultuur,strijdhamercultuur,enkelkamergrafcultuur,Touwbeker cultuur,Touwbeker,standvoetbekercultuur,standvoetbeker,,
p0qhb66bdpm,Laat Neolithicum,-2850,-2001,NEOL,,,Neolithicum laat,Laat neolithisch,late neolithicum,late neolitische,,,,,,
p0qhb66vprm,Laat Neolithicum A,-2850,-2451,NEOLA,,,Neolithicum laat A,,,,,,,,,
,Wessexcultuur,-2650,-1400,,,,Wessex,Wessex cultuur,,,,,,,,
,Klokbekercultuur,-2500,-2000,,,,Klokbeker,Klokbeker cultuur,,,,,,,,
p0qhb66qx5h,Metaaltijden,-2450,-13,,,,Metaal tijden,,,,,,,,,
p0qhb66stgt,Laat Neolithicum B,-2450,-2001,NEOLB,,,Neolithicum laat B,,,,,,,,,
,Wikkeldraadbekercultuur,-2100,-1800,,,,Wikkeldraadbeker cultuur,Wikkeldraadbeker,Wikkeldraad,,,,,,,
p0qhb66rsmj,Bronstijd,-2000,-801,BRONS,,,,,,,,,,,Bronze Age,Bronze
p0qhb66bnj8,Vroege Bronstijd,-2000,-1801,BRONSV,,,Bronstijd vroeg,vroeg bronstijd,,,,,,,,
p0qhb66mf9d,Midden Bronstijd,-1800,-1101,BRONSM,,,Bronstijd midden,,,,,,,,,
,Hilversumcultuur,-1800,-1200,,,,Hilversum,Hilversum cultuur,,,,,,,,
p0qhb66s4n5,Midden Bronstijd A,-1800,-1501,BRONSMA,,,Bronstijd midden A,,,,,,,,,
,Sögel-Wohldegroep,-1600,-1000,,,,Sögel-Wohlde-Kreis,,,,,,,,,
p0qhb66j25w,Midden Bronstijd B,-1500,-1101,BRONSMB,,,Bronstijd midden B,,,,,,,,,
,Elp,-1300,-800,,,,Hoogkarspelcultuur ,,,,,,,,,
,Urnenveldencultuur,-1300,-920,,,,Urnenvelden cultuur,Urnenvelden,,,,,,,,
,Hallstattcultuur,-1200,-450,,,,Hallstatt,Hallstatt cultuur,,,,,,,,
,Niederrheinische Grabhügelkultur,-1200,-800,,,,Niederrheinische Grabhugelkultur,Grabhugelkultur,Niederrhein,,,,,,,
,Hallstatt A,-1200,-1000,,,,,,,,,,,,,
p0qhb66bgk8,Late Bronstijd,-1100,-801,BRONSL,,,Bronstijd laat,laat bronstijd,,,,,,,,
,Hallstatt B,-1000,-800,,,,,,,,,,,,,
p0qhb666wdz,IJzertijd,-800,-13,IJZ,,,,,,,,,,,Iron Age,Iron
p0qhb662549,Vroege IJzertijd,-800,-501,IJZV,,,IJzertijd vroeg,vroeg ijzertijd,,,,,,,,
,Hallstatt C,-800,-650,,,,,,,,,,,,,
,Hallstatt D,-650,-450,,,,,,,,,,,,,
p0qhb66wn6t,Midden IJzertijd,-500,-251,IJZM,,,IJzertijd midden,,,,,,,,,
,La Tène A,-480,-380,,,,Vroeg-La-Tène A,La Tène I,,,,,,,,
,La Tène-periode,-450,-12,,,,La Tène-cultuur,La Tene-periode,La Tene-cultuur,La Tene,La Tène,,,,,
,Subatlanticum,-400,2000,,,,,,,,,,,,,
,La Tène B,-380,-280,,,,Vroeg-La-Tène B,La Tène I,,,,,,,,
,La Tène C,-280,-190,,,,Midden-La-Tène,La Tène II,,,,,,,,
p0qhb66ktnz,Late IJzertijd,-250,-12,IJZL,,,IJzertijd laat,laat ijzertijd,,,,,,,,
,La Tène D,-190,-12,,,,Laat-La-Tène,La Tène III,,,,,,,,
,Gallo-Romeinse periode,-58,486,,,,Gallo-Romeins,Gallisch,Gallische,,,,,,,
,Oudheid,-12,800,,,,,,,,,,,,,
p0qhb66wh74,Protohistorie,-12,449,PROTO,,,Protohistorisch,,,,,,,,,
p0qhb66gj99,Romeinse Tijd,-12,449,ROM,,,Romeins,Romeinsch,,,,,,,Roman Period,Roman
p0qhb66hjjk,Vroeg Romeinse Tijd,-12,69,ROMV,,,Vroeg Romeins,Romeinse tijd vroeg,vroege romeinse,,,,,,,
p0qhb66bs4q,Vroeg Romeinse Tijd A,-12,24,ROMVA,,,Vroeg Romeins A,Romeinse tijd vroeg A,,,,,,,,
,Jaartelling,0,1,,,,jaar nul,,,,,,,,,
p0qhb66twbd,Vroeg Romeinse Tijd B,25,69,ROMVB,,,Vroeg Romeins B,Romeinse tijd vroeg B,,,,,,,,
p0qhb66szgv,Midden Romeinse Tijd,70,269,ROMM,,,Midden Romeins,Neronisch,Flavisch,Romeinse tijd midden,,,,,,
p0qhb66tw94,Midden Romeinse Tijd A,70,149,ROMMA,,,Midden Romeins A,Romeinse tijd midden A,,,,,,,,
p0qhb66csm4,Midden Romeinse Tijd B,150,269,ROMMB,,,Midden Romeins B,Romeinse tijd midden B,,,,,,,,
,Frankische tijd,200,800,,,,Frankisch,,,,,,,,,
,Late Oudheid,270,800,,,,,,,,,,,,,
p0qhb666h98,Laat Romeinse Tijd,270,449,ROML,,,Laat Romeins,Romeinse tijd laat,late romeinse,,,,,,,
p0qhb66sxn4,Laat Romeinse Tijd A,270,349,ROMLA,,,Laat Romeins A,Romeinse tijd laat A,,,,,,,,
p0qhb66f5cs,Laat Romeinse Tijd B,350,449,ROMLB,,,Laat Romeins B,Romeinse tijd laat B,,,,,,,,
,Germaanse ijzertijd,375,750,,,,Germaanse,,,,,,,,,
,Volksverhuizingstijd,375,500,,,,,,,,,,,,,
p0qhb6622s5,Historie,450,1950,HIST,,,Historisch,,,,,,,,History,
p0pqptcfq9t,Middeleeuwen,450,1500,ME,XME,,Middeleeuws,,,,,,,,Middle Ages,Medieval
p0qhb66f748,Vroege Middeleeuwen,450,1049,MEV,VME,,Middeleeuwen vroeg,vroeg Middeleeuws,vroege middeleeuwse,,,,,,,
